PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,IID,Sex,population,Geographic_origin,Region,Pop7Groups
-0.083390361,0.019324456,-0.003742841,0.006805551,-0.090406443,0.039966652,0.10750405,-0.001082714,0.00164233,0.003953795,-0.005616656,0.012806493,-0.015886342,-0.00024694,0.006017417,-0.00130493,-0.063287846,0.103956057,-0.019373431,-0.004449646,HGDP00448,M,Biaka_Pygmies,Central_African_Republic,Subsaharian_Africa,Africa
-0.083526406,0.019022736,-0.003382375,0.003695901,-0.077813806,0.035457299,0.089212397,0.002309663,0.003774434,0.000162883,-0.001911529,0.016015613,-0.05759496,0.011695425,0.000531417,-0.000371632,-0.022808299,0.045011729,0.008960438,-0.02533689,HGDP00479,M,Biaka_Pygmies,Central_African_Republic,Subsaharian_Africa,Africa
-0.083569384,0.019157288,-0.00430057,0.00611084,-0.08018366,0.034553051,0.091225503,-0.001084656,0.003604414,0.005925074,-0.001209227,0.011409471,-0.057626051,0.016720002,-0.000275635,0.00222457,-0.031280231,0.055518868,0.001876052,-0.004817799,HGDP00985,M,Biaka_Pygmies,Central_African_Republic,Subsaharian_Africa,Africa
-0.082238036,0.018543734,-0.003346218,0.004364213,-0.076537849,0.02835902,0.080990945,-0.000410847,-0.001598519,0.003482725,-0.000316436,0.009290656,-0.034483221,0.007397017,0.00769206,0.002908642,-0.019912419,0.032913762,-0.005724423,-0.02044057,HGDP01094,M,Biaka_Pygmies,Central_African_Republic,Subsaharian_Africa,Africa
-0.079422775,0.018515773,-0.002704214,0.009802996,-0.140608348,-0.079339871,-0.177914834,-0.001753425,0.003143314,0.013483239,0.009692073,0.093259322,0.01241847,-0.005774723,-0.003305818,-0.005778165,0.008370302,0.004682054,0.000132813,0.017036391,HGDP00982,M,Mbuti_Pygmies,Democratic_Republic_of_Congo,Subsaharian_Africa,Africa
-0.082386362,0.014686746,-0.00385043,-0.009226658,0.084680032,-0.000448811,-0.009874672,0.002809421,0.004207756,-0.046911021,0.050139601,0.017505552,0.030160139,0.097357315,-0.05155399,-0.001604508,-0.001772284,-0.005826824,0.03076444,-0.002014921,HGDP00911,M,Mandenka,Senegal,Subsaharian_Africa,Africa
-0.083762699,0.015525756,-0.003859151,-0.011575197,0.084684827,-0.000747901,-0.017764002,-0.003087728,0.002355732,-0.039908032,0.05007196,0.022067633,0.027883066,0.100053352,-0.075585403,-0.002968645,-0.007815999,0.002159752,0.000523781,0.002210422,HGDP01202,M,Mandenka,Senegal,Subsaharian_Africa,Africa
-0.087722109,0.016702575,-0.005193685,-0.012545106,0.080585621,0.007688188,-0.010714462,-0.001003522,0.001432077,0.004781515,0.020878284,0.000107954,-0.029271022,-0.065346197,0.066129177,-0.021152713,-0.020572212,2.71E-05,-0.129428651,-0.008697717,HGDP00927,M,Yoruba,Nigeria,Subsaharian_Africa,Africa
-0.083914624,0.019522974,-0.004334672,0.006843777,-0.087906857,0.036349681,0.098457298,-0.002179645,0.000197653,-3.79E-05,-0.001461479,0.012295837,-0.05176095,0.005587771,0.000324192,0.000443324,-0.054036373,0.093065551,-0.007744727,-0.013470835,HGDP00461,M,Biaka_Pygmies,Central_African_Republic,Subsaharian_Africa,Africa
-0.084603688,0.019707791,-0.004559589,0.005961235,-0.093709732,0.051068852,0.134512815,-0.001683032,0.00142995,0.012847334,-0.005950583,0.024771825,-0.139293027,0.046024001,-0.006822553,0.004132749,-0.112847439,0.22361741,-0.019103315,0.355777495,HGDP00451,M,Biaka_Pygmies,Central_African_Republic,Subsaharian_Africa,Africa
-0.083434467,0.019018732,-0.003826497,0.003013829,-0.075161932,0.035031234,0.09104346,0.000658791,0.001978903,0.00261488,-0.003272715,0.012561196,-0.025125251,0.001926953,-0.009173771,-0.004961726,-0.022831423,0.042044779,0.00032511,-0.036053913,HGDP00986,M,Biaka_Pygmies,Central_African_Republic,Subsaharian_Africa,Africa
-0.079052721,0.018744717,-0.002441792,0.011721885,-0.137747879,-0.068764965,-0.15519759,-0.001886452,0.000267965,0.010538675,0.007950264,0.070527549,0.010670712,0.000338946,0.00826504,-0.002134087,-0.001801043,0.002106033,-0.001809448,0.003982,HGDP00449,M,Mbuti_Pygmies,Democratic_Republic_of_Congo,Subsaharian_Africa,Africa
-0.080105306,0.018769138,-0.002897127,0.009957018,-0.138543704,-0.078708003,-0.178151653,-0.001157143,0.002636618,0.011739542,0.01177379,0.094745439,0.013204929,-0.008052173,-0.009020067,-0.005374397,0.009911115,0.001383379,-0.000304366,0.018747683,HGDP00983,M,Mbuti_Pygmies,Democratic_Republic_of_Congo,Subsaharian_Africa,Africa
-0.084229071,0.015079717,-0.002451769,-0.010628521,0.084138325,0.000199519,-0.019740511,-0.003850511,0.003281139,-0.043813093,0.052874673,0.020471328,0.025304129,0.087698657,-0.053637192,-0.001574668,-0.004324462,-0.006596399,0.041063902,0.007464721,HGDP00912,M,Mandenka,Senegal,Subsaharian_Africa,Africa
-0.081836268,0.014405752,-0.004535061,-0.010986159,0.08762142,0.00093084,-0.019572478,-0.003633221,0.002645591,-0.039045657,0.051808736,0.020643511,0.043848848,0.104368742,-0.065920715,-0.014019787,-0.006960916,-0.000338301,0.043085434,0.003388486,HGDP01283,M,Mandenka,Senegal,Subsaharian_Africa,Africa
-0.08640108,0.017045608,-0.004070998,-0.011641564,0.076714944,0.003028735,-0.009633804,-0.002338221,0.002521577,-0.001655022,0.016305103,0.001391666,-0.010703273,-0.068417785,0.067146296,-0.011922916,-0.009230981,-0.017861084,-0.125089549,-0.018633527,HGDP00928,F,Yoruba,Nigeria,Subsaharian_Africa,Africa
-0.087751656,0.017209708,-0.00443857,-0.011689167,0.08156981,0.005231445,-0.015726962,0.000811493,0.001109176,0.007052187,0.017244843,0.004111126,-0.020100449,-0.055902376,0.050889943,-0.014313364,-0.008483975,-0.012454376,-0.11907062,-0.016138569,HGDP00937,M,Yoruba,Nigeria,Subsaharian_Africa,Africa
-0.078637617,0.013642441,-0.003838066,-0.006636044,0.046155948,-0.000156903,-0.013088001,0.002418559,0.000284657,-0.015726527,-7.26E-05,-0.004818203,-0.008712182,-0.053097466,0.094477558,-0.001623285,0.002662915,-0.014041118,0.008403629,0.005004737,HGDP01408,M,Bantu_N.E.,Kenya,Subsaharian_Africa,Africa
-0.071432017,0.015919771,-0.001626825,0.009283318,-0.102219498,-0.023552803,-0.037770181,0.000872235,-0.011528448,-0.052956388,-0.008871552,-0.366989763,0.041957068,0.023997746,-0.038070128,0.00619239,0.019554164,-0.004849513,0.002579597,0.008429673,HGDP00991,M,San,Namibia,Subsaharian_Africa,Africa
-0.084147383,0.015865706,-0.002981448,-0.006833557,0.050331735,0.008039246,-0.005042827,-0.000275454,-0.001925114,-0.001855502,0.0127362,-0.006762105,-0.015114373,-0.055825914,0.083599703,-0.016451657,-0.004691324,-0.020211156,-0.014379649,-0.011516115,HGDP01031,M,Bantu_S.W._Ovambo,South_Africa,Subsaharian_Africa,Africa
-0.007907939,-0.030655051,-0.000990549,-0.006876613,0.013480996,-0.049083386,0.016959975,-0.001180433,-0.0044888,-0.014137261,-0.021043943,0.005319068,0.000130446,0.006436016,0.012570147,0.035247229,0.056788456,0.028890291,-0.001799144,0.022130862,HGDP01263,M,Mozabite,Algeria_(Mzab),North_Africa,Middle_Est
-0.011845189,-0.028947714,-0.002456317,-0.006211945,0.016194271,-0.055435241,0.019317539,-0.0034849,-0.004627028,-0.02288008,-0.030641873,0.008899583,-0.002651829,0.005461172,0.020902491,0.050874019,0.094014208,0.047426199,-0.007658745,0.043895999,HGDP01275,F,Mozabite,Algeria_(Mzab),North_Africa,Middle_Est
-0.007270244,-0.029596783,-0.001046177,-0.004246037,0.00941945,-0.021013859,0.005801486,0.001300877,-0.002349674,-0.013953849,-0.031941259,0.003625898,0.000262176,0.001590392,-0.003132879,-0.002701608,-0.000441437,-0.004649685,0.001409727,-0.00216436,HGDP00611,M,Bedouin,Israel_(Negev),Middle_Est,Middle_Est
9.28E-05,-0.035758492,-0.00023823,-0.004548228,0.003192054,-0.036012439,0.009598056,0.002780086,-0.006860547,-0.044312345,-0.085591323,0.011447221,0.000922353,0.003893011,-0.015879642,-0.007611324,-0.01610709,-0.006721554,-0.005699473,-0.030994451,HGDP00623,M,Bedouin,Israel_(Negev),Middle_Est,Middle_Est
-0.00457455,-0.02996919,-0.001263338,-0.004433081,0.007273799,-0.019022198,0.004298595,0.004162761,-0.004314358,-0.016446972,-0.034699282,0.005972883,0.001495817,0.004325014,-0.001230784,-0.005107731,-0.005453225,-0.0050499,0.000141002,-0.007171262,HGDP00634,F,Bedouin,Israel_(Negev),Middle_Est,Middle_Est
-0.002646598,-0.031553799,-0.001515112,-0.003324299,0.006776904,-0.016184791,0.002619325,0.002397418,-0.001714343,-0.016251635,-0.0329912,-1.77E-05,0.002533744,0.000626166,-0.003677484,-0.004134028,0.000201423,-0.000222946,-0.001685012,-0.000830541,HGDP00645,M,Bedouin,Israel_(Negev),Middle_Est,Middle_Est
0.005664427,-0.036770193,-0.00225721,-0.00277934,-0.00017664,-0.012279165,0.006819057,0.003630477,-0.002792007,-0.015087205,-0.034812267,0.005542223,-0.000247313,0.0008823,-0.007257233,-0.012350587,-0.021702848,-0.010475531,-0.004470962,-0.00749203,HGDP00557,F,Druze,Israel_(Carmel),Middle_Est,Middle_Est
0.004992139,-0.036688055,-0.001838746,-0.002652834,-0.000842769,-0.013092266,0.006358088,-0.000645042,-0.002951134,-0.016860299,-0.034014795,0.002526179,0.001944644,0.002255026,-0.012238715,-0.014647286,-0.017075127,-0.007739636,-0.002751547,-0.012110672,HGDP00569,F,Druze,Israel_(Carmel),Middle_Est,Middle_Est
0.005918382,-0.035790666,-0.001967182,-0.003171505,-0.000494389,-0.012175928,0.005039035,0.006367896,-0.006334778,-0.017721998,-0.044190936,0.005332437,0.001805395,0.002192193,-0.015404656,-0.016818913,-0.033778561,-0.017103037,-0.005495792,-0.020272064,HGDP00581,F,Druze,Israel_(Carmel),Middle_Est,Middle_Est
